"name","price_amount"
"ChinaHR.com","$224,000,000.00"
"Chipidea Microelectrónica","$22,000,000.00"
"Chipidea Microelectrónica","$147,000,000.00"
"Chips and Technologies","$420,000,000.00"
"ChipSensors",""
"ChipWrights",""
"ChipX",""
"Chirp Interactive",""
"Chirpme",""
"Chockstone",""
"Choice Therapeutics",""
"Chomp",""
"Choose Digital",""
"Chronicle Solutions",""
"Chronos Mobile Technologies",""
"Cibando",""
"Cibecs",""
"Ciclon Semiconductor Device Corporation",""
"Cie Games","$100,000,000.00"
"Cinario",""
"CipherTrust","$273,600,000.00"
"CiraNova",""
"Circle of Moms",""
"Circle Street",""
"CircleLending",""
"CircuLite","$30,000,000.00"
"cisimple",""
"Citizen Sports",""
"CitizenHawk",""
"Citizenside","$1,500,000.00"
"Citrus Lane","$48,600,000.00"
"Citydeal.de",""
"CitySquares",""
"CityTherapy",""
"Cityvox",""
"Civitas Therapeutics","$525,000,000.00"
"Clacendix",""
"ClairMail","$173,000,000.00"
"Clarient","$587,000,000.00"
"Claritics",""
"Clarity",""
"Clarity Payment Solutions",""
"ClarityRay",""
"Claros Diagnostics",""
"Clarus Systems",""
"Classic Fine foods",""
"Clean Mobile",""
"CleanEdison",""
"Clear Shape Technologies",""
"Clear Standards",""
"Clear Story Systems",""
"Clear2Pay","$375,000,000.00"
"Clear2Pay",""
"ClearAccess",""
"ClearApp",""
"ClearForest",""
"ClearMomentum",""
"ClearPoint Metrics",""
"ClearSaleing",""
"Clearswift",""
"Clearwell Systems","$390,000,000.00"
"Clearwire","$2,200,000,000.00"
"Cleversafe",""
"CleverSet","$10,000,000.00"
"Clickability",""
"Clickability",""
"Clickable",""
"ClickandBuy",""
"ClickDelivery",""
"ClickEquations",""
"Clicker",""
"Clickpass",""
"ClickShift",""
"ClickSquared",""
"Clinical Pathology Laboratories",""
"Clipboard","$12,000,000.00"
"Clipmarks",""
"Cloakware",""
"Cloakware","$72,500,000.00"
"Clontech Laboratories Inc",""
"Clothes Horse",""
"Cloud.com",""
"Cloud Sherpas",""
"Cloudant",""
"Cloudary",""
"CloudBlue Technologies",""
"CloudFloor",""
"Cloudkick",""
"Cloudmeter",""
"CloudOn",""
"Cloudscaling",""
"CloudShield Technologies",""
"CloudSwitch",""
"CloudVertical",""
"CloudVolumes",""
"Clouli",""
"Cloupia","$125,000,000.00"
"Clover","$56,100,000.00"
"Cloverleaf Communications","$12,000,000.00"
"Clusterk",""
"Clutch.io",""
"CMOSIS nv",""
"CMOSIS nv",""
"CN Creative","$50,000,000.00"
"CNS Therapeutics",""
"CO Space",""
"COADE",""
"Coalfire",""
"CoaLogix",""
"Coapt Systems",""
"Code Green Networks",""
"CodeEval",""
"Codefast",""
"Codenomicon",""
"CodeRyte",""
"Codesion",""
"Coding Technologies",""
"Cobook",""
"Cofio Software",""
"CoFluent Design",""
"CoFoundersLab",""
"Cogenta Systems",""
"Coghead",""
"Cognea",""
"Cognio",""
"CogniTens",""
"Cognitive Match",""
"Cognitive Security",""
"Coherex Medical",""
"Cohesive Technologies",""
"Cohuman",""
"Coinzone",""
"ColdLight Solutions","$105,000,000.00"
"ColdSpark","$15,900,000.00"
"Coley Pharmaceutical Group",""
"Colibria",""
